State,FlightTime,Miles
AL,3.7500,746
"AK
",6.8833,3535
AZ,3.1333,1638
AR,1.3333,602
CA,4.7500,2133
CO,2.0000,1061
CT,1.9167,891
DE,1.4833,805
DC,1.6667,721
FL,2.5167,1201
GA,1.9500,859
HI,11.3333,4098
ID,3.1500,1583
IL,0.0000,0
IN,0.5333,186
IA,0.8167,311
KS,1.3667,737
KY,1.2333,404
LA,2.4167,937
ME,2.3667,1137
MD,1.6667,737
MA,2.0833,995
MI,1.0833,304
MN,3.5833,552
MS,2.3000,655
MO,0.9333,274
NE,1.4833,633
NV,4.0000,1731
NH,2.3833,1085
NJ,2.0333,974
NM,2.6000,1187
NY,2.0333,920
NC,1.8500,810
ND,1.8500,924
OH,0.7500,369
OK,1.5833,690
OR,4.5833,1907
PA,1.7333,752
RI,1.3000,1097
SC,1.8167,828
SD,1.7333,713
TN,1.6167,503
TX,2.5000,994
UT,2.9167,1376
VT,2.2500,1084
VA,1.7333,758
WA,3.8667,1945
WV,1.6167,599
WI,0.9000,245
